-79,1812,-1732
-44,1795,-1751
-16,1781,-1765
-8,1777,-1769
19,1763,-1783
27,1759,-1787
63,1741,-1804
82,1730,-1813
98,1722,-1821
118,1711,-1829
134,1702,-1837
154,1691,-1845
170,1682,-1852
189,1671,-1860
205,1661,-1867
225,1650,-1875
241,1640,-1881
252,1633,-1886
260,1628,-1889
276,1618,-1895
296,1606,-1903
304,1601,-1906
312,1596,-1908
331,1584,-1915
326,1587,-1914
347,1574,-1921
358,1566,-1925
366,1561,-1928
382,1551,-1933
385,1548,-1934
401,1538,-1940
409,1532,-1942
417,1527,-1945
420,1525,-1946
436,1514,-1951
431,1517,-1949
452,1503,-1956
424,1522,-1947
463,1495,-1959
471,1490,-1961
479,1484,-1964
487,1478,-1966
477,1485,-1963
498,1471,-1969
506,1465,-1971
496,1472,-1969
522,1453,-1976
523,1452,-1976
525,1451,-1976
533,1445,-1979
540,1440,-1981
548,1434,-1983
556,1428,-1985
559,1426,-1985
562,1424,-1986
567,1420,-1987
575,1414,-1989
583,1408,-1991
590,1402,-1993
593,1400,-1994
596,1398,-1995
601,1394,-1996
609,1388,-1998
617,1382,-1999
625,1376,-2001
628,1374,-2002
631,1371,-2002
635,1368,-2003
643,1361,-2005
651,1355,-2007
659,1349,-2008
649,1357,-2006
661,1347,-2009
669,1341,-2010
673,1338,-2011
677,1335,-2012
685,1328,-2013
692,1322,-2015
695,1320,-2016
698,1317,-2016
703,1314,-2017
711,1307,-2018
718,1301,-2020
721,1299,-2020
726,1295,-2021
732,1290,-2022
736,1286,-2023
744,1280,-2024
752,1273,-2025
754,1271,-2026
759,1267,-2026
770,1258,-2028
765,1262,-2027
777,1251,-2029
785,1245,-2030
792,1239,-2031
795,1236,-2032
803,1230,-2033
810,1223,-2034
818,1216,-2035
825,1210,-2035
835,1201,-2037
843,1194,-2037
850,1188,-2038
1197,1150,-2037
1108,1112,-2045
1226,1074,-2033
1254,1036,-2029
1268,999,-2047
1282,870,-2047
1282,741,-2024
1297,723,-2020
1303,715,-2019
1310,708,-2018
1325,689,-2014
1331,682,-2013
1337,674,-2011
1346,663,-2009
1352,655,-2008
1364,640,-2004
1366,637,-2004
1378,622,-2000
1384,614,-1999
1390,606,-1997
1405,587,-1992
1416,572,-1989
1419,569,-1988
1430,553,-1984
1442,537,-1980
1450,526,-1977
1461,511,-1973
1467,503,-1970
1486,476,-1963
1492,468,-1960
1511,441,-1952
1516,433,-1950
1540,398,-1939
1558,371,-1929
1563,363,-1927
1586,328,-1914
1603,301,-1904
1608,292,-1901
1630,257,-1888
1647,230,-1877
1652,222,-1874
1673,186,-1859
1684,167,-1851
1688,158,-1847
1693,150,-1844
1704,131,-1835
1713,115,-1828
1719,103,-1823
1723,95,-1819
1732,79,-1812
1738,68,-1806
1747,51,-1798
1751,43,-1795
1757,32,-1789
1761,24,-1785
1765,16,-1781
1769,7,-1777
1771,4,-1776
1775,-3,-1771
1779,-11,-1767
1783,-19,-1763
1787,-27,-1759
1788,-30,-1757
1792,-39,-1753
1796,-47,-1749
1800,-55,-1745
1804,-63,-1741
1805,-65,-1740
1806,-66,-1739
1809,-74,-1735
1813,-82,-1730
1812,-81,-1731
1821,-99,-1721
1818,-94,-1724
1822,-102,-1720
1824,-106,-1717
1826,-110,-1715
1829,-118,-1711
1827,-113,-1714
1833,-126,-1706
1837,-134,-1702
1837,-136,-1701
1838,-138,-1700
1842,-146,-1695
1845,-154,-1691
1843,-149,-1694
1849,-162,-1686
1852,-170,-1682
1850,-165,-1685
1852,-169,-1683
1854,-173,-1680
1857,-181,-1675
1855,-176,-1678
1860,-189,-1670
1864,-198,-1666
1862,-193,-1669
1867,-206,-1661
1863,-196,-1667
1868,-209,-1659
1870,-213,-1656
1872,-217,-1654
1875,-225,-1650
1878,-233,-1645
1876,-228,-1648
1882,-241,-1640
1880,-236,-1643
1881,-239,-1641
1883,-244,-1638
1886,-252,-1633
1887,-257,-1630
1889,-261,-1628
1892,-269,-1623
1890,-264,-1626
1895,-277,-1618
1894,-272,-1621
1897,-280,-1616
1900,-288,-1611
1898,-283,-1614
1903,-296,-1606
1901,-291,-1609
1906,-304,-1601
1909,-312,-1596
1907,-307,-1599
1908,-310,-1597
1910,-315,-1594
1913,-323,-1589
1916,-331,-1584
1917,-326,-1587
1918,-339,-1579
1921,-347,-1573
1921,-342,-1577
1921,-346,-1575
1925,-358,-1566
2031,-362,-1563
2033,-366,-1561
2035,-579,-1399
2031,-792,-1238
2039,-858,-1181
2042,-890,-1151
2020,-899,-1143
2043,-908,-1135
2044,-922,-1121
2044,-933,-1111
2044,-944,-1101
2044,-954,-1091
2045,-962,-1085
2045,-970,-1079
2045,-978,-1073
2045,-986,-1067
2046,-986,-1061
2046,-997,-1051
2046,-1008,-1040
2047,-1017,-1030
2047,-1012,-1035
2047,-1027,-1020
2047,-1034,-1013
2047,-1041,-1006
2047,-1048,-999
2047,-1064,-982
2047,-1071,-975
2047,-1078,-968
2046,-1095,-951
2045,-1102,-943
2045,-1108,-936
2044,-1125,-919
2043,-1138,-904
2042,-1154,-887
2041,-1161,-879
2040,-1168,-872
2037,-1197,-840
2033,-1226,-807
2023,-1282,-741
2011,-1337,-674
1997,-1391,-606
1989,-1417,-571
1984,-1431,-553
1980,-1442,-537
1970,-1467,-502
1965,-1481,-484
1960,-1492,-468
1955,-1505,-449
1950,-1516,-433
1949,-1518,-430
1938,-1540,-398
1963,-1485,-477
1932,-1553,-379
1927,-1563,-363
1920,-1576,-344
1914,-1586,-327
1910,-1593,-316
1901,-1609,-292
1894,-1621,-273
1891,-1626,-265
1888,-1630,-257
1880,-1642,-237
1874,-1652,-221
1866,-1663,-202
1859,-1673,-186
1851,-1684,-166
1844,-1693,-150
1835,-1704,-131
1828,-1713,-114
1819,-1724,-95
1811,-1732,-79
1802,-1743,-59
1794,-1751,-43
1781,-1765,-15
1777,-1769,-7
1763,-1783,19
1759,-1787,28
1740,-1804,63
1726,-1817,91
1721,-1821,99
1702,-1837,135
1681,-1852,170
1670,-1861,190
1661,-1867,206
1645,-1878,233
1640,-1882,242
1618,-1896,277
1606,-1903,296
1601,-1906,304
1596,-1909,312
1584,-1916,332
1571,-1922,351
1578,-1919,340
1573,-1921,348
1561,-1928,367
1548,-1934,386
1555,-1931,375
1550,-1933,383
1537,-1940,402
1568,-1924,356
1532,-1942,410
1528,-1944,416
1519,-1948,429
1527,-1945,418
1513,-1951,437
1500,-1957,456
1508,-1953,445
1515,-1950,435
1502,-1956,453
1481,-1965,483
1489,-1961,472
1486,-1962,476
1484,-1964,480
1476,-1967,491
1477,-1967,489
1478,-1966,488
1464,-1971,506
1456,-1974,517
1497,-1958,461
1459,-1974,514
1466,-1971,505
1453,-1976,522
1445,-1979,533
1437,-1982,544
1439,-1981,541
1448,-1977,528
1433,-1983,549
1425,-1986,560
1426,-1985,563
1428,-1985,557
1435,-1982,547
1414,-1990,575
1411,-1990,578
1408,-1991,583
1423,-1986,563
1399,-1994,594
1402,-1993,591
1393,-1996,602
